cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"873","14036","395238","1078846","Synovus Bank","Columbus","GA","31901","3/31/2019","5/19/2019","SM","1111 Bay Avenue","SYNOVUS FINANCIAL CORP.","309","0","1","4","0","Muscogee","17980","Columbus, GA-AL","1/1/1888","1/1/1934","1/1/2019","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","0","www.synovus.com","4975","46549175","1222226","712779","6824338","23421","35433448","257036","74114","858660","11329","560387","1541252","46549175","41512064","38445941","29233840","38445941","63.220059822673","314383","22755","2494974","0","234011","5037111","5037111","0","68912","4603730","364469","0","148474","30834","139588","42993986","15592102","39565040","39565040","39811657","45207807","753238","559386","0","193852","4651976","48396","2106011","55983","11709688","4431463","258106","11709688","5618215"
"29143","2988","717670","0","Systematic Savings Bank","Springfield","MO","65806","3/31/2019","5/19/2019","SA","318 South Ave","","1","0","0","5","0","Greene","44180","Springfield, MO","1/1/1923","3/5/1938","8/10/2017","Non-Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","WWW.MYSYSTEMATIC.COM","9","36466","5599","4545","5532","388","24048","447","0","615","0","0","284","36465","31479","31404","30610","31404","97.1139466064212","0","0","0","0","75","4986","4986","0","0","0","4986","0","846","0","99","34513","16650","37023","37023","20871","37235","0","0","0","0","753","461","0","0","645","5001","263","645","0"
"57703","0","3284445","5077977","T Bank, National Association","Dallas","TX","75248","3/31/2019","5/19/2019","N","16200 Dallas Parkway, # 190","T ACQUISITION, INC.","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","11/2/2004","11/2/2004","5/12/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.tbank.com","46","310424","12429","11337","18983","502","254391","939","0","4782","275","13388","5674","310424","267163","258537","221917","258537","79.5962617689347","0","0","5000","0","3626","43261","43261","0","7000","28111","8150","0","1359","1359","1242","285213","100782","308136.5","308136.5","230448","294167","0","0","0","0","26360","0","5000","16674","19164","30864","939","19164","0"
"16394","0","411549","3685220","Table Grove State Bank","Table Grove","IL","61482","3/31/2019","5/19/2019","NM","121 South Broadway Street","TG BANCSHARES, INC.","1","0","0","2","1","Fulton","","","3/5/1946","3/5/1946","6/19/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.tgsbank.com","10","45314","1320","978","11934","0","30967","265","0","361","0","0","732","45314","40138","40032","33407","40032","91.0146592413156","0","0","0","0","106","5176","5176","0","200","600","4376","0","20","0","706","43879","16172","45236.5","45236.5","33127","45028","0","0","0","0","375","1087","0","0","5826","5324","265","5826","0"
"58300","0","3446225","3446430","Table Rock Community Bank","Kimberling City","MO","65686","3/31/2019","5/19/2019","NM","1 Wildwood Lane","TABLE ROCK BANCSHARES CORPORATION","2","0","0","4","0","Stone","","","8/28/2006","8/28/2006","6/21/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","www.trcbank.com","29","83731","3506","1831","7689","3537","63923","670","0","2444","330","331","1971","83731","76021","75552","64420","75552","91.7608448243919","0","0","0","0","469","7710","7710","0","2000","2547","3163","0","305","0","239","76980","23959","84175","84175","61136","85678","1366","1366","0","0","1798","2673","0","194","8902","7675","670","8902","773"
"178","9191","577230","1249020","Talbot State Bank","Woodland","GA","31836","3/31/2019","5/19/2019","NM","76 E. Main Street","TSB BANCORP, INC.","2","0","0","8","1","Talbot","","","11/25/1907","1/1/1934","8/26/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","https://www.talbotstatebank.com","15","59771","7257","6447","24157","0","26658","414","0","683","133","0","883","59771","53545","53459","50738","53459","82.0432396101714","0","0","0","0","86","6226","6226","0","5000","2500","-1274","0","731","0","588","57262","47487","60598","60598","23937","59725","0","0","0","0","16129","205","0","0","34","5850","301","34","0"
"29061","2844","800479","0","Tarboro Savings Bank, SSB","Tarboro","NC","27886","3/31/2019","5/19/2019","SB","501 Main Street","","1","0","0","5","0","Edgecombe","40580","Rocky Mount, NC","1/1/1906","5/27/1949","3/31/2006","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","www.tarborosavingsbank.com","8","48073","8492","8179","13","0","36574","123","0","659","230","0","2105","48073","41028","40988","40988","40988","95.9549136332585","0","0","0","0","40","7045","7045","0","0","0","7045","0","161","0","164","44766","19784","47796","47796","26901","48293","1500","1500","0","0","3770","1063","0","0","2623","7045","123","2623","0"
"15590","9299","831941","1119105","Taylor County Bank","Campbellsville","KY","42718","3/31/2019","5/19/2019","NM","Broadway & Lebanon Ave.","TAYLOR COUNTY BANCSHARES, INC.","4","0","0","4","1","Taylor","","","9/1/1937","4/6/1938","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.taylorcountybank.com","54","191964","10600","3777","36459","16219","123132","1029","0","2508","245","0","2801","191964","165353","158311","127127","158311","79.5445798184124","2240","0","4431","0","371","26611","26611","0","280","14720","11611","0","1171","0","900","179587","87413","185619","185619","133161","185568","357","357","0","0","11817","1219","4431","0","11576","26989","1029","11576","1435"
"32348","8170","258379","0","Taylorsville Savings Bank, SSB","Taylorsville","NC","28681","3/31/2019","5/19/2019","SB","107 Main Avenue Dr","","3","0","0","5","0","Alexander","25860","Hickory-Lenoir-Morganton, NC","4/1/1921","6/26/1985","12/12/2008","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.taylorsvillesavings.com","32","105253","4223","1649","6311","4025","83289","1335","0","895","0","0","6510","105253","95052","92684","85710","92684","94.4667400263232","0","0","0","0","2368","10201","10201","0","0","0","10201","0","776","0","322","95274","56265","104325","104325","67864","104760","4702","4702","0","0","3074","901","0","0","12341","11445","855","12341","0"
"23498","11362","766164","3233126","TBK BANK, SSB","Dallas","TX","75251","3/31/2019","5/19/2019","SB","12700 Park Central Drive, #","TRIUMPH BANCORP, INC.","62","0","1","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","7/15/1981","7/15/1981","9/8/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.tbkbank.com","1150","4506143","164448","102722","344648","0","3584121","27598","0","101117","3072","197015","111722","4506143","3816734","3336090","2646843","3336090","77.6411025834993","3727","0","426609","0","50308","689409","689409","0","750","506028","182631","0","30977","7709","19022","4031491","482574","4515490.5","4515490.5","4027883","4271955","40668","14774","25026","868","540409","39673","405000","610","836316","487700","28135","836316","2364"
