cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2019","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","47","387683","68740","65937","40473","653","247758","1894","0","5226","496","2142","22195","387683","334729","329160","243408","329160","69.4686515662826","0","0","0","0","5569","52954","52954","0","13242","33764","5948","0","4412","0","749","354821","106160","382539","382539","245910","379461","14268","4297","0","9971","18729","8820","0","0","34857","48454","1930","34857","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2019","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","16","106364","6335","5621","2680","0","91373","849","0","1981","3073","0","922","106364","95341","87159","68804","87159","83.1141719329695","0","0","8000","0","182","11023","11023","0","534","16797","-6308","0","25","0","248","99674","5772","109233","109233","92426","109215","0","0","0","0","10290","1717","8000","0","11497","11034","849","11497","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2019","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","9","47647","26039","24986","0","0","20092","1037","0","898","0","0","618","47647","40575","40457","29802","40457","92.345880260818","0","0","0","0","118","7072","7072","0","657","4443","1972","0","0","0","368","45078","34","49219","49219","21110","48400","0","0","0","0","303","0","0","0","3594","7072","273","3594","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2019","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","46","159105","10293","1040","40976","11922","89515","1154","0","4985","0","0","1414","159105","141973","141583","94452","141583","79.5978877813232","0","0","0","0","390","17132","17132","0","500","752","15880","0","28","0","950","143453","36475","155572.5","155572.5","82985","156287","0","0","0","0","4104","456","0","0","1835","17219","1038","1835","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","3/31/2019","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","13","40351","11589","11103","8943","41","18689","199","0","463","27","0","599","40351","36847","36710","29202","36710","89.2136849840777","0","0","0","0","137","3504","3504","0","300","300","2904","0","181","0","302","38776","5783","40153","40153","17264","40592","0","0","0","0","2166","71","0","0","1267","3542","199","1267","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2019","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","244466","30019","26402","23601","500","174608","1230","0","5017","242","0","10479","244466","218259","203579","165498","203579","72.6456474009165","0","0","8000","0","6680","26207","26207","0","100","0","26107","0","2884","0","790","225111","129615","242747.5","242747.5","144747","240139","6180","4792","0","1388","23823","8289","8000","0","24493","26244","1230","24493","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2019","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","68","343434","54264","41711","16123","3955","249706","2385","0","5983","0","2975","10428","343434","308949","306521","174465","306521","75.3480026750616","0","0","0","0","2428","34485","34485","0","5165","13820","15500","0","525","0","1015","311495","149578","332562.5","332562.5","278241","331823","7474","4417","0","3057","11085","8742","0","0","58382","32216","2417","58382","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2019","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","14","55934","17901","16948","12994","0","24085","249","0","628","0","0","326","55934","50617","45078","35592","45078","82.2154201046935","5331","0","0","0","208","5317","5317","0","500","1337","3480","0","201","0","201","54027","7157","56421","56421","21189","55337","0","0","0","0","6775","59","0","0","3322","5317","249","3322","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","3/31/2019","5/19/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","81","634428","67548","56436","69320","0","476705","6560","0","4278","0","69","16508","634428","572719","567900","299705","567900","49.9438360505652","0","0","2386","0","2433","61709","61709","0","54311","2716","4682","0","0","0","1797","602461","182028","628357.5","628357.5","448858","628978","7916","0","0","7916","9368","11451","0","0","82407","61585","5624","82407","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2019","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","69","545384","9559","8743","112918","12","408436","5890","0","739","0","0","13720","545384","501033","487922","427284","487922","49.8306661285134","11168","0","0","0","1943","44351","44351","0","1025","16200","27126","0","4021","0","2080","530109","191505","544545","544545","362675","548876","8426","7128","0","1298","71552","1469","0","2977","59099","44430","4550","59099","0"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","3/31/2019","5/19/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","18","63931","5047","2924","9658","0","47896","466","0","665","0","0","665","63931","57576","55400","47300","55400","80.2437529297227","0","0","2000","0","176","6355","6355","0","200","1320","4835","0","15","0","512","60478","7011","63271.5","63271.5","50573","62929","0","0","0","0","9276","2782","2000","0","5560","6485","466","5560","0"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","3/31/2019","5/19/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","21","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","187","1190919","15161","4691","225063","0","866798","8704","0","27010","2515","13245","41127","1190919","1041768","995658","781818","995658","82.7503696814182","0","0","37962","0","8148","149151","149151","0","6061","84906","58184","0","3499","0","3778","1096552","414827","1184097","1184097","1084122","1154044","28844","18780","0","10064","70050","5765","22050","1169","455529","136527","8704","455529","1871"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","3/31/2019","5/19/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","12","97958","16793","13478","237","0","78666","1134","0","1297","0","0","965","97958","83134","74588","67651","74588","89.6289745548097","0","0","8324","0","222","14824","14824","0","2500","7750","4574","0","4021","0","239","92381","3638","99148","99148","85912","100240","399","399","0","0","9029","1500","8324","0","3864","14824","1075","3864","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","3/31/2019","5/19/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","4","39494","8822","6801","0","0","30029","404","0","140","0","0","503","39494","30586","30479","30187","30479","95.7509589849513","0","0","0","0","107","8908","8908","0","1","7951","956","0","0","0","89","36830","881","40724","40724","26652","40385","286","286","0","0","4291","1506","0","0","1460","8908","333","1460","0"
"31410","6903","535575","0","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","3/31/2019","5/19/2019","SB","300 Robertson Boulevard","","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","26","95697","7747","6567","7984","0","76125","874","0","1962","0","391","1488","95697","87266","81921","67401","81921","91.0645413269541","0","0","5000","0","345","8431","8431","0","1013","1111","6307","0","50","0","266","90676","15262","92605","92605","53470","92522","0","0","0","0","6892","936","5000","0","9452","8554","670","9452","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","3/31/2019","5/19/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","349","671829","80383","69935","30803","2550","476850","25442","0","53148","71","0","28024","671829","510728","468788","459861","468788","96.8122803914758","0","0","25310","0","16630","161101","161101","0","88","89912","71101","0","16098","0","6612","580138","2255","675364.5","675364.5","584288","676574","0","0","0","0","13365","245","0","0","1907691","161101","7528","1907691","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","3/31/2019","5/19/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","70","188762","7088","4741","26020","760","139737","1214","0","4359","184","3408","7206","188762","172553","156620","122540","156620","81.2683051063288","0","0","13500","0","2433","16209","16209","0","850","824","14535","0","1322","264","1702","171258","80089","183795.5","183795.5","128521","181003","2283","1151","0","1132","22369","2714","13500","6102","29503","14625","1381","29503","32751"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","3/31/2019","5/19/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","427","1625690","84981","75866","99783","155","1329519","11845","0","28773","167","18950","63362","1625690","1436885","1334447","1299756","1334447","77.0273055010405","0","0","86824","0","15614","188805","188805","0","0","89275","99530","0","2986","0","5812","1505323","721599","1623584","1623584","1310403","1642549","34700","25683","0","9017","111378","3459","86824","45592","257520","180902","12130","257520","125698"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","3/31/2019","5/19/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","1159","6375094","73311","8692","1002809","0","4833545","101852","10375","61948","417","87539","305150","6375094","5613023","5124593","3977943","5124593","59.7294218116181","253993","10558","158151","0","65728","762071","759392","0","2818","273489","483085","2679","15196","2529","21576","5845046","900349","6332484.5","6332484.5","5722071","6225146","67939","48651","0","19288","660073","18486","146265","9210","1068340","686501","71937","1068340","938396"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","3/31/2019","5/19/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststatebk.com","63","285518","63183","57794","5252","0","197994","2961","0","15075","297","903","2814","285518","258343","240825","134121","240825","53.9791195334067","0","0","16500","0","1018","27175","27175","0","6040","18113","3022","0","2927","759","608","261040","6834","284352","284352","252379","286400","0","0","0","0","7172","11692","16500","330","115300","27191","2961","115300","4990"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","3/31/2019","5/19/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","5","27328","2139","1503","11627","4076","9175","113","0","84","10","0","217","27328","23655","23624","18186","23624","94.9693251533742","0","0","0","0","31","3673","3673","0","309","391","2973","0","421","0","111","26381","11077","27111","27111","11674","27254","0","0","0","0","267","9","0","0","938","3770","113","938","0"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","3/31/2019","5/19/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","180","1080677","8161","138","491267","0","542728","5696","0","12074","551","339","25557","1080677","977410","936886","863583","936886","74.3708535162182","0","0","33153","2000","5371","103267","103267","0","771","9363","93133","0","2647","0","3732","1034133","754729","1069125","1069125","588417","1068654","13422","9165","17","4240","93801","30506","29972","0","95280","103944","7296","95280","0"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","3/31/2019","5/19/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","48","258446","29259","20989","10698","505","207671","1768","0","8412","433","0","1468","258446","236416","225819","188720","225819","72.7485173054793","0","0","10120","0","477","22030","22030","0","9231","6000","6799","0","2293","0","620","239863","74713","257809","257809","197706","242294","0","0","0","0","62333","11693","10120","324","17543","22044","1768","17543","0"
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","3/31/2019","5/19/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","30","144881","10473","9485","51490","0","74270","614","0","2569","0","4771","1308","144880","126210","125369","102496","125369","92.7545244359404","0","0","0","0","841","18670","18670","0","77","17303","1290","0","453","0","514","135245","25297","143630.5","143630.5","95878","139524","0","0","0","0","500","38","0","0","25235","14942","614","25235","1614"
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","3/31/2019","5/19/2019","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","62","502843","20162","18717","58690","0","399234","2174","0","8163","11436","0","5158","502843","446016","443999","359657","443999","77.8189308740423","0","0","0","0","2017","56827","56827","0","341","40659","15827","0","2018","1651","1554","476641","77823","495907","495907","366815","499337","1043","1043","0","0","1013","1332","0","0","30797","57505","2174","30797","0"
"16910","0","449430","3438051","22nd State Bank","Louisville","AL","36048","3/31/2019","5/19/2019","NM","1920 Main Street","FEB BANCSHARES, INC.","4","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.22ndstatebank.com","42","146700","4783","817","26058","11665","97056","1079","0","1805","896","0","4437","146700","132852","132498","113435","132498","85.3281358385861","0","0","0","0","354","13848","13848","0","50","21382","-7584","0","2748","0","527","135596","49808","144757.5","144757.5","96093","143341","3285","3285","0","0","8151","3655","0","0","14579","14416","1079","14579","0"
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","3/31/2019","5/19/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","43","221562","5070","40","19607","16800","174641","2286","0","2247","0","1022","2175","221562","183300","182408","137572","182408","75.17661308444","0","0","0","0","892","38262","38262","0","385","30965","6912","0","12","0","593","211088","32176","215500","215500","184388","221775","0","0","0","0","12496","2876","0","0","38428","37430","2286","38428","0"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","3/31/2019","5/19/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","36","191719","28341","19286","1625","0","155076","1848","0","2464","45","0","4168","191719","172923","157666","107949","157666","68.7763579287821","0","0","14986","0","271","18796","18796","0","3750","23745","-8699","0","40","0","569","175987","25741","192801.5","192801.5","154820","191631","0","0","0","0","11054","15184","0","180","36036","16120","1848","36036","0"
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","3/31/2019","5/19/2019","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","92","348956","55379","52413","0","0","281295","2872","0","4453","0","2410","5419","348957","303604","302012","227110","302012","90.8722552709722","0","0","0","0","1592","45353","45353","0","2000","0","43353","0","229","0","1042","333708","126616","344325","344325","182434","337552","0","0","0","0","7350","644","0","717","5871","40078","2352","5871","0"
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","3/31/2019","5/19/2019","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","21","54313","7697","7321","2948","0","36440","513","0","1542","6","4653","1027","54313","38163","37040","34877","37040","90.0439910398618","0","0","0","0","1123","16150","16150","0","0","0","16150","0","584","0","197","46709","23008","54712","54712","34769","53419","0","0","0","0","2021","25","0","1406","20059","14503","455","20059","3470"
"30619","5642","416272","0","Abbeville First Bank, SSB","Abbeville","SC","29620","3/31/2019","5/19/2019","SB","205 South Main St","","2","0","0","8","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","16","76911","5336","4404","21005","0","45508","621","0","486","448","0","4128","76911","67953","56933","50924","56933","97.4549031317514","0","0","10750","0","270","8958","8958","0","0","0","8958","0","88","0","361","70917","40120","77175.5","77175.5","39253","76250","2300","2300","0","0","4226","990","10750","0","2729","8176","492","2729","0"
"19795","16035","198149","3612794","AbbyBank","Abbotsford","WI","54405","3/31/2019","5/19/2019","NM","401 East Spruce Street","ABBY BANCORP, INC.","6","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","102","503344","15044","9010","73184","302","390188","4706","0","13025","178","2590","8833","503344","458195","413108","359155","413108","94.7406315687743","5500","0","38000","0","1587","45149","45149","0","3000","10027","32122","0","4578","170","1497","472684","128282","505704.5","505704.5","421486","506151","6386","6386","0","0","56242","1213","38000","435","59590","45042","4719","59590","2384"
"26549","0","117672","0","Abington Bank","Abington","MA","2351","3/31/2019","5/19/2019","SM","6 Harrison Avenue","","3","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/1/2017","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.theabingtonbank.com","55","319472","21797","20455","32445","5187","238254","1485","0","6045","0","2353","13391","319472","285778","272281","228366","272281","80.624274654405","0","0","11400","0","2097","33694","33694","0","0","0","33694","0","1075","0","1097","296341","140815","316798","316798","217138","314665","8154","8154","0","0","21716","179","11400","0","39919","31868","1675","39919","0"
"19600","0","535753","2107707","Academy Bank, National Association","Kansas City","MO","64154","3/31/2019","5/19/2019","N","8551 N Boardwalk Avenue","DICKINSON FINANCIAL CORPORATION II","73","0","1","4","0","Platte","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","5/1/2017","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","581","1594587","214558","165917","179777","0","1157145","15604","0","14997","94","3251","24765","1594587","1365812","1277647","1021083","1277647","80.5869926295838","4434","0","70018","0","13713","228775","228775","0","12400","186099","30276","0","3939","47","4390","1502839","573447","1528373","1528373","1227474","1528103","0","0","0","0","86269","15312","70018","6533","221592","226573","15351","221592","19944"
"4061","13760","266253","1055708","ACB Bank","Cherokee","OK","73728","3/31/2019","5/19/2019","NM","323 S Grand Street","ALFALFA COUNTY BANCSHARES, INC.","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","21","132386","1876","252","22117","192","101201","1945","0","1387","45","0","5568","132386","120525","117963","98613","117963","75.7578324171868","0","0","1588","0","974","11861","11861","0","300","3792","7769","0","5241","0","2518","123762","34543","132327","132327","115022","133345","2103","2103","0","0","6675","88","1588","0","8188","12039","1444","8188","0"
"58727","0","3614837","3637939","Access Bank","Omaha","NE","68114","3/31/2019","5/19/2019","NM","8712 West Dodge Road","3MV BANCORP, INC.","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","WWW.ACCESSBANK.COM","111","545728","20602","13462","48219","0","446972","6269","0","8779","0","11982","9174","545728","475614","466176","317160","466176","54.9629038931083","0","0","5750","0","3688","70114","70114","0","789","55519","13806","0","354","0","1665","508653","133394","539389","539389","532296","522608","4935","4935","0","0","42579","19646","5750","1016","111470","58786","6269","111470","21861"
"58562","0","3535848","4556381","AccessBank Texas","Denton","TX","76201","3/31/2019","5/19/2019","NM","320 W Eagle Drive, # 100","ACCESS BANCORP, INC.","5","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","63","386042","22024","19869","55921","18179","270295","3652","0","8418","0","465","10740","386042","349562","348336","263232","348336","64.8731480126379","0","0","0","0","1226","36480","36480","0","3311","32848","321","0","4365","2349","982","364264","73482","383198.5","383198.5","289838","379629","6029","6029","0","0","41720","1549","0","1948","48059","37008","3623","48059","9290"
"7506","12499","5210","1117464","ACNB Bank","Gettysburg","PA","17325","3/31/2019","5/19/2019","NM","16 Lincoln Square","ACNB CORPORATION","29","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","7/1/2017","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.acnb.com","332","1657502","61353","43285","188050","0","1287615","14020","0","28494","48","14953","76989","1657502","1495345","1375652","1299084","1375652","92.538262851649","29759","0","78020","0","11914","162157","162157","0","4798","43353","114006","0","6204","0","5047","1518950","487321","1645723.5","1645723.5","1197418","1622043","49768","43611","0","6157","109429","5424","74216","300","282897","158524","14101","282897","0"
"18489","12279","463650","5006472","Adams Bank & Trust","Ogallala","NE","69153","3/31/2019","5/19/2019","SM","315 North Spruce Street","ADAGE, LLC","20","0","1","2","0","Keith","","","2/26/1962","2/26/1962","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.abtbank.com","187","788218","42545","35175","25538","0","688085","10863","0","13825","199","0","18026","788218","701000","676706","548753","676706","82.7034767845279","0","0","21000","0","3294","87218","87218","20000","3000","17000","47218","0","1911","512","6030","748798","73834","784301.5","784301.5","712192","782172","2215","2215","0","0","42896","59","21000","1217","156836","87218","8927","156836","0"
"90140","12033","343903","0","Adams Community Bank","Adams","MA","1220","3/31/2019","5/19/2019","SB","2 Center Street","","8","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","1/1/2016","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.adamscommunity.com","103","591561","16751","8804","42955","63","496720","3922","0","6980","168","8120","19804","591561","536550","472405","419715","472405","79.8670825011002","0","0","59500","0","4645","55011","55011","0","0","0","55011","0","2479","0","1680","548542","338864","585660","585660","362094","576855","11929","10451","0","1478","47902","1447","59500","0","61821","49304","4426","61821","0"
